Story ID,Qwen Mean,Llama Mean,Differences
1,0.8042049421505495,0.7425580696525799,-0.06164687249796963
2,0.8243649417427854,0.7311610591532004,-0.09320388258958501
3,0.8384619337704146,0.7359897216612642,-0.10247221210915036
4,0.7818533258406,0.7977690943062105,0.01591576846561049
5,0.7357447493612854,0.6643717352689718,-0.07137301409231367
6,0.8634132666431794,0.7760829448649779,-0.08733032177820155
7,0.8831449219712404,0.832781232517175,-0.05036368945406544
8,0.9228982463328526,0.8842465973361976,-0.038651648996654964
9,0.7643385493958538,0.6946462606289973,-0.06969228876685651
10,0.7815155019209115,0.7898462491755935,0.00833074725468208
